gender,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,shar_o,amb_o,fun_o,intel_o,like_o,prob_o,met_o,age,field_cd,race,imprace,career_c,income,dec_o
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,5,5,5,5,5,6,6,5,1,21,1,2,8,1,86340,0
0,1,28,2,50,0,25,10,0,15,5,9,6,9,9,9,7,7,1,21,1,2,8,1,86340,1
0,1,24,2,100,0,0,0,0,0,3,10,5,10,7,7,4,10,1,21,1,2,8,1,86340,0
0,0,27,2,35,20,20,20,0,5,7,9,4,8,9,8,7,4,1,23,1,4,1,1,60304,0
0,0,22,2,60,0,0,40,0,0,6,8,6,7,6,10,7,4,1,23,1,4,1,1,60304,0
0,1,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,0,23,1,4,1,1,60304,1
0,0,23,2,30,5,15,40,5,5,6,8,8,9,7,8,7,7,1,23,1,4,1,1,60304,1
0,0,24,3,30,10,20,10,10,20,9,7,6,9,7,9,9,2,0,23,1,4,1,1,60304,1
0,0,25,2,50,0,30,10,0,10,6,6,7,8,8,8,6,6,1,23,1,4,1,1,60304,1
0,0,30,2,35,15,25,10,5,10,5,6,4,5,4,8,3,3,1,23,1,4,1,1,60304,0
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,8,7,8,7,6,1,23,1,4,1,1,60304,0
0,0,28,2,50,0,25,10,0,15,6,7,6,6,6,7,6,6,1,23,1,4,1,1,60304,1
0,0,24,2,100,0,0,0,0,0,7,10,7,10,6,10,6,7,1,23,1,4,1,1,60304,0
0,0,27,2,35,20,20,20,0,5,7,8,7,7,8,8,7,4,1,22,1,4,2,1,54620,0
0,0,22,2,60,0,0,40,0,0,7,9,5,6,6,10,8,4,0,22,1,4,2,1,54620,1
0,1,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,0,22,1,4,2,1,54620,1
0,0,23,2,30,5,15,40,5,5,8,8,9,9,8,9,8,7,0,22,1,4,2,1,54620,1
0,0,24,3,30,10,20,10,10,20,8,7,5,9,6,9,8,4,1,22,1,4,2,1,54620,1
0,0,25,2,50,0,30,10,0,10,8,8,6,6,6,8,7,7,1,22,1,4,2,1,54620,1
0,0,30,2,35,15,25,10,5,10,7,6,3,4,4,5,5,4,1,22,1,4,2,1,54620,0
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,8,7,5,7,7,6,7,5,1,22,1,4,2,1,54620,1
0,0,28,2,50,0,25,10,0,15,9,7,10,9,9,9,9,9,1,22,1,4,2,1,54620,1
0,0,24,2,100,0,0,0,0,0,7,6,7,8,6,8,7,7,1,22,1,4,2,1,54620,0
0,1,27,2,35,20,20,20,0,5,8,7,5,6,6,6,7,4,1,25,13,2,1,6,25347.73166,0
0,1,22,2,60,0,0,40,0,0,8,8,5,6,7,10,9,4,1,25,13,2,1,6,38120.90493,1
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,25,13,2,1,6,43904.99921,1
0,1,23,2,30,5,15,40,5,5,8,8,7,8,8,8,8,7,1,25,13,2,1,6,37778.90752,1
0,0,24,3,30,10,20,10,10,20,9,9,7,9.032208436,9,8,9,7,1,25,13,2,1,6,52137.95991,1
0,1,25,2,50,0,30,10,0,10,8,7,7,8,7,7,7,6,1,25,13,2,1,6,40773.04896,1
0,1,30,2,35,15,25,10,5,10,6,4,4,6,5,7,4,4,1,25,13,2,1,6,52035.1124,0
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,9,8,5,7,8,8,7,5,1,25,13,2,1,6,39895.15961,1
0,1,28,2,50,0,25,10,0,15,8,7,10,8,10,8,8,8,1,25,13,2,1,6,30399.51861,1
0,1,24,2,100,0,0,0,0,0,8,10,8,8,9,9,8,8,1,25,13,2,1,6,31626.87528,1
0,0,27,2,35,20,20,20,0,5,6,8,5,7,8,7,6,4,1,26,13,6,1,9,50188.34741,0
0,0,22,2,60,0,0,40,0,0,8,8,5,6,7,10,8,4,1,26,13,6,1,9,10661.68404,1
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,26,13,6,1,9,47672.42665,1
0,0,23,2,30,5,15,40,5,5,7,8,7,8,8,7,7,7,1,26,13,6,1,9,37150.61333,1
0,0,24,3,30,10,20,10,10,20,7,9,7,7,9,8,7,8,1,26,13,6,1,9,48825.03417,1
0,0,25,2,50,0,30,10,0,10,6,6,7,7,8,7,6,5,1,26,13,6,1,9,57682.53048,1
0,0,30,2,35,15,25,10,5,10,8,6,5,6,8,7,8,4,1,26,13,6,1,9,46707.09561,1
0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,7,7,5,6,7,7,7,5,1,26,13,6,1,9,47494.54005,0
0,0,28,2,50,0,25,10,0,15,6,6,6,6,7,6,6,6,1,26,13,6,1,9,54999.00137,1
0,0,24,2,100,0,0,0,0,0,5,6,6,6,6,6,6,6,1,26,13,6,1,9,42736.74969,0
0,1,27,2,35,20,20,20,0,5,7,8,5,6,8,7,6,3,1,26,13,2,4,9,48652,0
0,1,22,2,60,0,0,40,0,0,1,1,1,1,1,1,1,1,1,26,13,2,4,9,48652,0
0,0,22,4,19,18,19,18,14,12,10,10,10,10,10,10,10,10,1,26,13,2,4,9,48652,1
0,1,23,2,30,5,15,40,5,5,7,8,8,8,9,7,7,7,0,26,13,2,4,9,48652,1
0,0,24,3,30,10,20,10,10,20,6,9,8.162249578,8,7,9,6,6,1,26,13,2,4,9,48652,1
0,1,30,2,35,15,25,10,5,10,7,7,4,4,3,4,3,6,1,26,13,2,4,9,48652,0
0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,6,5,6,6,6,7,6,1,26,13,2,4,9,48652,0
0,1,28,2,50,0,25,10,0,15,7,7,6,6,7,7,7,8,1,26,13,2,4,9,48652,1
0,1,24,2,100,0,0,0,0,0,6,6,6,6,6,6,7,7,1,26,13,2,4,9,48652,0
1,0,21,4,15,20,20,15,15,15,6,9,5,6,7,7,7,6,1,27,8,2,7,2,63800.92764,1
1,1,24,2,45,5,25,20,0,5,5,7,3,6,4,8,6,4,1,27,8,2,7,2,25787.29081,0
1,1,25,2,35,10,35,10,10,0,7,9,9,8,7,10,8,7,0,27,8,2,7,2,63477.32534,0
1,1,23,2,20,20,20,20,10,10,4,10,7,8,5,8,6,7,1,27,8,2,7,2,53655.55468,0
1,1,21,2,20,5,25,25,10,15,5,8,2,2,2,8,7,5,1,27,8,2,7,2,35955.51109,0
1,0,23,4,10,25,20,25,5,15,6,9,6,7,6,7,6,6,1,27,8,2,7,2,40231.42441,1
1,0,22,4,15,15,25,20,15,10,4,8,4,7,5,8,7,4,1,27,8,2,7,2,56789.23268,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,8,5,7,4,7,4,5,1,27,8,2,7,2,49721.07326,1
1,0,26,6,20,10,20,30,10,10,8,10,6,7,8,9,5,5,1,27,8,2,7,2,44274.30343,1
1,1,26,2,15,15,15,40,10,5,6,10,6.956044967,6,6,10,6,3,1,27,8,2,7,2,54470.35529,0
1,0,21,4,15,20,20,15,15,15,7,8,6,5,8,7,7,5,0,22,1,2,1,1,29237,1
1,1,24,2,45,5,25,20,0,5,8,5,6,9,6,6,7,3,1,22,1,2,1,1,29237,0
1,1,25,2,35,10,35,10,10,0,9,7,7,9,8,9,8,7,1,22,1,2,1,1,29237,0
1,1,23,2,20,20,20,20,10,10,8,7,8,7,10,8,8,1,0,22,1,2,1,1,29237,0
1,1,21,2,20,5,25,25,10,15,8,6,5,5,5,6,6,4,0,22,1,2,1,1,29237,0
1,0,23,4,10,25,20,25,5,15,6,9,2,8,6,9,7,6,1,22,1,2,1,1,29237,1
1,0,22,4,15,15,25,20,15,10,6,6,4,9,4,8,7,3,0,22,1,2,1,1,29237,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,6,9,7,8,7,1,22,1,2,1,1,29237,1
1,0,26,6,20,10,20,30,10,10,10,10,10,10,10,10,10,5,1,22,1,2,1,1,29237,1
1,1,26,2,15,15,15,40,10,5,1,1,-0.409430666,1,1,1,1,1,0,22,1,2,1,1,29237,0
1,0,24,2,45,5,25,20,0,5,5,8,4,3,6,9,6,7,1,22,1,4,3,1,46709.29258,0
1,0,25,2,35,10,35,10,10,0,7,9,7,9,7,9,8,7,1,22,1,4,3,1,56709.79519,0
1,0,23,2,20,20,20,20,10,10,4,7,7,6,8,8,4,1,1,22,1,4,3,1,54100.41628,0
1,0,21,2,20,5,25,25,10,15,4,6,5,6,8,8,6,5,0,22,1,4,3,1,49483.90868,0
1,1,23,4,10,25,20,25,5,15,4,7,2,3,4,9,6,2,0,22,1,4,3,1,38546.32218,0
1,1,22,4,15,15,25,20,15,10,3,6,8,8,7,8,7,8,0,22,1,4,3,1,26373.17421,0
1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,7,6,8,5,5,1,22,1,4,3,1,44577.86408,1
1,0,26,6,20,10,20,30,10,10,5,10,6,6,6,10,8,5,1,22,1,4,3,1,30401.17237,1
1,0,26,2,15,15,15,40,10,5,6,10,3.941825722,6,10,10,7,6,1,22,1,4,3,1,53970.22696,1
1,0,21,4,15,20,20,15,15,15,7,6,8,6,7,8,7,6,1,23,1,2,1,1,56580,1
1,1,24,2,45,5,25,20,0,5,7,9,7,5,6,7,7,8,1,23,1,2,1,1,56580,1
1,1,25,2,35,10,35,10,10,0,9,7,7,9,7,9,8,7,1,23,1,2,1,1,56580,0
1,1,23,2,20,20,20,20,10,10,8,10,10,7,10,7,8,10,0,23,1,2,1,1,56580,1
1,1,21,2,20,5,25,25,10,15,8,5,9,7,7,5,8,2,0,23,1,2,1,1,56580,1
1,0,23,4,10,25,20,25,5,15,8,6,8,2,8,7,9,4,1,23,1,2,1,1,56580,1
1,0,22,4,15,15,25,20,15,10,7,8,6,7,7,8,8,6,0,23,1,2,1,1,56580,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,5,6,1,23,1,2,1,1,56580,1
1,0,26,6,20,10,20,30,10,10,10,9,7,7,8,8,7,5,1,23,1,2,1,1,56580,1
1,1,26,2,15,15,15,40,10,5,10,10,3.576721195,10,10,10,10,1,0,23,1,2,1,1,56580,0
1,0,21,4,15,20,20,15,15,15,5,6,6,6,7,7,6,6,1,24,1,3,3,1,36782,1
1,0,24,2,45,5,25,20,0,5,6,8,8,7,9,7,8,6,0,24,1,3,3,1,36782,0
1,0,23,2,20,20,20,20,10,10,6,9,9,8,9,8,7,7,1,24,1,3,3,1,36782,0
1,0,21,2,20,5,25,25,10,15,6,7,8,4,5,7,7,4,1,24,1,3,3,1,36782,0
1,0,23,4,10,25,20,25,5,15,5,4,2,4,8,8,4,3,0,24,1,3,3,1,36782,0
1,0,22,4,15,15,25,20,15,10,4,7,5,8,4,7,5,6,0,24,1,3,3,1,36782,0
1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,8,7,6,5,8,6,5,1,24,1,3,3,1,36782,1
1,0,26,6,20,10,20,30,10,10,5,10,5,5,8,8,5,5,1,24,1,3,3,1,36782,1
1,0,26,2,15,15,15,40,10,5,5,7,2.575650655,7,7,7,6,1,1,24,1,3,3,1,36782,0
1,0,21,4,15,20,20,15,15,15,4,9,4,6,4,7,6,5,1,25,8,2,9,7,32268.62813,0
1,1,24,2,45,5,25,20,0,5,8,7,2,6,3,8,6,5,1,25,8,2,9,7,46513.92507,0
1,1,23,2,20,20,20,20,10,10,5,10,2,8,4,8,4,3,1,25,8,2,9,7,58863.1036,0
1,1,21,2,20,5,25,25,10,15,5,6,8,7,5,7,7,3,1,25,8,2,9,7,35038.54761,1
1,0,23,4,10,25,20,25,5,15,3,7,1,1,1,6,2,2,1,25,8,2,9,7,37890.01186,0
1,0,22,4,15,15,25,20,15,10,4,8,4,5,4,7,5,5,1,25,8,2,9,7,34408.33407,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,8,7,6,5,8,6,5,1,25,8,2,9,7,41621.30609,1
1,0,26,6,20,10,20,30,10,10,8,9,5,6,7,9,6,5,1,25,8,2,9,7,63833.33537,1
1,1,26,2,15,15,15,40,10,5,5,10,1.997093486,6,4,6,6,1,1,25,8,2,9,7,41537.32933,0
1,0,21,4,15,20,20,15,15,15,7,6,7,6,4,7,6,5,1,30,13,2,1,2,38548,1
1,1,24,2,45,5,25,20,0,5,7,5,9,7,6,9,8,7,1,30,13,2,1,2,38548,1
1,1,25,2,35,10,35,10,10,0,8,9,9,7,7,10,8,7,1,30,13,2,1,2,38548,0
1,1,23,2,20,20,20,20,10,10,7,10,5,10,7,10,5,1,1,30,13,2,1,2,38548,0
1,1,21,2,20,5,25,25,10,15,6,6,6,5,5,8,6,3,1,30,13,2,1,2,38548,1
1,0,23,4,10,25,20,25,5,15,8,8,4,3,8,8,8,7,1,30,13,2,1,2,38548,1
1,0,22,4,15,15,25,20,15,10,7,7,7,7,7,8,8,7,1,30,13,2,1,2,38548,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,7,7,7,5,8,6,6,1,30,13,2,1,2,38548,1
1,0,26,6,20,10,20,30,10,10,6,8,6,6,6,9,7,5,1,30,13,2,1,2,38548,1
1,1,26,2,15,15,15,40,10,5,5,10,1.018821263,9,6,8,7,1,1,30,13,2,1,2,38548,1
1,0,21,4,15,20,20,15,15,15,4,9,6,5,6,7,6,7,0,27,8,2,8,7,52010,0
1,1,24,2,45,5,25,20,0,5,5,8,5,9,5,7,5,6,1,27,8,2,8,7,52010,0
1,1,25,2,35,10,35,10,10,0,7,9,7,9,8,9,8,7,1,27,8,2,8,7,52010,0
1,1,23,2,20,20,20,20,10,10,5,9,7,9,5,9,6,6,1,27,8,2,8,7,52010,0
1,1,21,2,20,5,25,25,10,15,5,5,5,7,6,7,6,4,1,27,8,2,8,7,52010,1
1,0,23,4,10,25,20,25,5,15,4,8,3,8,2,9,5,5,1,27,8,2,8,7,52010,0
1,0,22,4,15,15,25,20,15,10,5,7,5,9,5,8,5,7,1,27,8,2,8,7,52010,0
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,6,6,5,4,7,5,4,1,27,8,2,8,7,52010,1
1,0,26,6,20,10,20,30,10,10,6,7,6,9,7,8,7,5,1,27,8,2,8,7,52010,1
1,1,26,2,15,15,15,40,10,5,5,6,7.108285069,5,4,6,5,5,1,27,8,2,8,7,52010,0
1,0,21,4,15,20,20,15,15,15,7,6,8,8,9,8,7,7,1,28,8,2,1,7,42958.00588,1
1,1,24,2,45,5,25,20,0,5,7,6,5,4,9,8,5,6,1,28,8,2,1,7,19137.92729,1
1,1,25,2,35,10,35,10,10,0,9,9,9,9,9,9,9,7,1,28,8,2,1,7,41011.30212,0
1,1,23,2,20,20,20,20,10,10,9,8,8,7,10,10,8,8,1,28,8,2,1,7,32789.66572,1
1,1,21,2,20,5,25,25,10,15,7,5,9,7,8,7,9,4,1,28,8,2,1,7,67541.24394,1
1,0,23,4,10,25,20,25,5,15,7,6,9,6,8,8,9,6,1,28,8,2,1,7,41751.26515,1
1,0,22,4,15,15,25,20,15,10,6,6,6,8,8,8,6,6,1,28,8,2,1,7,53855.08077,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,8,9,8,9,5,7,10,1,28,8,2,1,7,27701.58793,1
1,0,26,6,20,10,20,30,10,10,8,5,5,5,6,5,7,6,1,28,8,2,1,7,26294.0628,1
1,1,26,2,15,15,15,40,10,5,9,9,9,9,9,9,9,9,1,28,8,2,1,7,47930.38059,1
1,0,21,4,15,20,20,15,15,15,5,6,8,10,8,6,6,6,1,24,8,2,1,7,41093.81476,1
1,1,24,2,45,5,25,20,0,5,6,7,8,9,7,8,8,7,1,24,8,2,1,7,50067.27873,1
1,1,25,2,35,10,35,10,10,0,8,7,7,9,7,9,8,7,1,24,8,2,1,7,18468.085,0
1,1,23,2,20,20,20,20,10,10,8,9,8,8,10,10,10,8,1,24,8,2,1,7,62119.93099,1
1,1,21,2,20,5,25,25,10,15,9,6,5,6,9,7,10,3,1,24,8,2,1,7,28185.70115,1
1,0,23,4,10,25,20,25,5,15,8,9,7,10,9,9,9,8,1,24,8,2,1,7,46741.77368,1
1,0,22,4,15,15,25,20,15,10,8,6,6,8,7,7,7,5,1,24,8,2,1,7,23649.66611,1
1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,7,6,8,9,7,8,8,7,1,24,8,2,1,7,17367.51255,1
1,0,26,6,20,10,20,30,10,10,7,8,8,7,8,7,8,5,1,24,8,2,1,7,25292.08299,1
1,1,26,2,15,15,15,40,10,5,9,9,8,8,10,8,9,10,1,24,8,2,1,7,53300.48309,1
0,1,25,4,25,20,25,20,10,0,3,10,7,4,6,10,4,1,1,21,5,4,8,10,55067.6982,0
0,1,23,4,20,25,20,15,10,10,3,10,2,9,5,9,6,7,1,21,5,4,8,10,12749.32831,0
0,0,24,2,25,35,30,10,0,0,4,5,2,6,4,6,5,2,1,21,5,4,8,10,12786.86452,0
0,0,24,2,25,15,25,25,15,15,6,7,7,7,6,8,8,8,1,21,5,4,8,10,21195.26134,1
0,0,28,2,25,15,25,15,0,20,7,8,6,9,7,8,7,7,1,21,5,4,8,10,20609.07655,1
0,0,26,2,20,35,20,10,10,5,6,7,8,9,8,10,8,6,1,21,5,4,8,10,60219.89598,0
0,0,30,2,20,20,25,25,5,5,9,5,7,5,5,6,5,6,1,21,5,4,8,10,31331.95038,1
0,0,22,2,30,15,25,25,5,0,3,8,3,8,5,5,4,2,1,21,5,4,8,10,22671.58635,0
0,1,25,4,20,20,20,20,5,15,6,7,4,6,4,8,6,6,1,21,5,4,8,10,50094.6898,0
0,0,27,1,35,10,20,15,10,10,5,8,1.363657513,6.651965744,5.428024909,8,7,7,1,21,5,4,8,10,69768.96696,0
0,0,23,2,25,10,35,15,0,15,2,8,2,2,3,8,5,3,1,21,5,4,8,10,37470.72279,0
0,0,21,2,15,20,15,30,5,15,6,6,6,7,6,8,6,3,1,21,5,4,8,10,26489.46193,0
0,0,28,2,40,15,20,10,5,10,6,8,6,7,7,8,7,7,1,21,5,4,8,10,47414.79444,0
0,0,28,2,40,20,20,20,0,0,5,7,5,7,7,7,5,5,1,21,5,4,8,10,32852.01563,0
0,0,23,1,20,25,25,10,10,10,5,8,5,9,7,10,6,6,1,21,5,4,8,10,46518.57955,0
0,0,25,4,25,20,25,20,10,0,4,10,4,6,8,8,3,1,1,27,9,1,1,5,28418,0
0,0,23,4,20,25,20,15,10,10,3,6,1,5,5,8,2,1,1,27,9,1,1,5,28418,0
0,0,24,2,25,35,30,10,0,0,4,5,1,5,3,5,5,2,1,27,9,1,1,5,28418,0
0,0,24,2,25,15,25,25,15,15,6,7,5,8,6,6,6,5,1,27,9,1,1,5,28418,1
0,0,28,2,25,15,25,15,0,20,7,7,5,6,5,7,6,5,1,27,9,1,1,5,28418,1
0,0,26,2,20,35,20,10,10,5,5,8,5,6,5,5,5,5,1,27,9,1,1,5,28418,0
0,0,22,2,30,15,25,25,5,0,4,6,3,7.286229396,5,6,5,1,1,27,9,1,1,5,28418,0
0,0,25,4,20,20,20,20,5,15,7,8,4.750609737,7,7,7,7,4,1,27,9,1,1,5,28418,0
0,1,27,1,35,10,20,15,10,10,6,8,3.616876646,6.161584292,6,7,7,7,0,27,9,1,1,5,28418,0
0,0,23,2,25,10,35,15,0,15,2,2,1,2,2,3,2,1,1,27,9,1,1,5,28418,0
0,0,21,2,15,20,15,30,5,15,4,6,5,5,6,7,4,2,1,27,9,1,1,5,28418,0
0,0,28,2,40,15,20,10,5,10,6,8,6,8,7,8,7,5,1,27,9,1,1,5,28418,0
0,0,28,2,40,20,20,20,0,0,4,7,5,6,6,7,6,4,1,27,9,1,1,5,28418,0
0,1,23,1,20,25,25,10,10,10,5,8,8,10,7,9,7,7,1,27,9,1,1,5,28418,0
0,1,25,4,25,20,25,20,10,0,5,4,3,4,7,3,1,1,1,21,3,4,9,3,43062.07903,0
0,1,23,4,20,25,20,15,10,10,6,10,1.966912959,9,8,9,8,8,1,21,3,4,9,3,61951.33024,0
0,0,24,2,25,35,30,10,0,0,4,6,2,3,4,5,6,4,0,21,3,4,9,3,32725.86957,1
0,0,24,2,25,15,25,25,15,15,8,8,8,7,10,8,8,8,0,21,3,4,9,3,30620.73832,1
0,0,28,2,25,15,25,15,0,20,7,8,6,6,6,7,7,7,1,21,3,4,9,3,30846.86499,1
0,0,26,2,20,35,20,10,10,5,6,8,9,8,8,9,8,6,1,21,3,4,9,3,50661.35201,0
0,0,30,2,20,20,25,25,5,5,5,6,4,7,4,6,6,5,1,21,3,4,9,3,48293.27025,1
0,0,22,2,30,15,25,25,5,0,4,6,3,3,4,6,3,2,1,21,3,4,9,3,28909.12733,0
0,1,25,4,20,20,20,20,5,15,7,8,3,7,6,8,6,5,1,21,3,4,9,3,27703.6836,0
0,0,23,2,25,10,35,15,0,15,4,6,1,1,1,4,2,5,1,21,3,4,9,3,35970.77984,0
0,0,21,2,15,20,15,30,5,15,7,7,5,6,6,6,5,2,1,21,3,4,9,3,21197.62548,0
0,0,28,2,40,15,20,10,5,10,7,8,6,8,7,8,7,6,1,21,3,4,9,3,26815.26548,1
0,0,28,2,40,20,20,20,0,0,6,7,7,9,7,7,7,5,1,21,3,4,9,3,24894.15022,1
0,0,23,1,20,25,25,10,10,10,6,9,7,10,8,10,7,7,1,21,3,4,9,3,42113.54696,0
0,0,25,4,25,20,25,20,10,0,5,10,5,8,9,9,2,3,1,27,11,2,2,9,43185,0
0,0,23,4,20,25,20,15,10,10,7,6,2,8,9,7,3,1,1,27,11,2,2,9,43185,0
0,1,24,2,25,35,30,10,0,0,5,5,2,7,4,6,5,5,1,27,11,2,2,9,43185,0
0,1,24,2,25,15,25,25,15,15,5,7,8,8,7,8,8,6,1,27,11,2,2,9,43185,1
0,1,28,2,25,15,25,15,0,20,6,6,5,5,6,6,5,6,1,27,11,2,2,9,43185,1
0,1,26,2,20,35,20,10,10,5,7,8,9,7,8,8,8,5,1,27,11,2,2,9,43185,0
0,1,30,2,20,20,25,25,5,5,6,6,4,6,5,6,6,6,1,27,11,2,2,9,43185,1
0,1,22,2,30,15,25,25,5,0,6,8,3,9.871765048,5,8,5,3,1,27,11,2,2,9,43185,0
0,0,25,4,20,20,20,20,5,15,7,7,7,6,5,6,7,4,1,27,11,2,2,9,43185,1
0,1,23,2,25,10,35,15,0,15,7,5,6,6,6,7,6,2,1,27,11,2,2,9,43185,1
0,1,21,2,15,20,15,30,5,15,7,7,2,6,5,9,4,2,1,27,11,2,2,9,43185,0
0,1,28,2,40,15,20,10,5,10,8,8,7,7,8,8,7,7,1,27,11,2,2,9,43185,0
0,1,28,2,40,20,20,20,0,0,8,7,8,7,7,8,7,5,1,27,11,2,2,9,43185,1
0,0,23,1,20,25,25,10,10,10,8,9,6,8,8,9,8,6,1,27,11,2,2,9,43185,1
0,0,25,4,25,20,25,20,10,0,8,10,4,8,9,9,3,1,1,25,11,2,10,9,23152,0
0,0,23,4,20,25,20,15,10,10,8,9,6.543277386,5,7,7,8,6,1,25,11,2,10,9,23152,1
0,1,24,2,25,35,30,10,0,0,8,5,1,5,6,6,6,1,1,25,11,2,10,9,23152,1
0,1,24,2,25,15,25,25,15,15,7,6,4,5,7,6,7,6,1,25,11,2,10,9,23152,1
0,1,28,2,25,15,25,15,0,20,7,6,6,6,7,6,7,7,1,25,11,2,10,9,23152,1
0,1,26,2,20,35,20,10,10,5,10,8,8,7,8,7,9.5,6,0,25,11,2,10,9,23152,1
0,1,30,2,20,20,25,25,5,5,6,7,2,5,5,5,6,5,1,25,11,2,10,9,23152,1
0,1,22,2,30,15,25,25,5,0,9,8,5,7.877925104,8,7,8,7,1,25,11,2,10,9,23152,1
0,0,25,4,20,20,20,20,5,15,9,8,5,6,8,7,8,4,1,25,11,2,10,9,23152,1
0,1,23,2,25,10,35,15,0,15,6,4,2,2,6,7,3,3,1,25,11,2,10,9,23152,0
0,1,21,2,15,20,15,30,5,15,8,7,6,6,7,7,7,3,1,25,11,2,10,9,23152,1
0,1,28,2,40,15,20,10,5,10,9,8,7,8,8,8,8,8,1,25,11,2,10,9,23152,1
0,1,28,2,40,20,20,20,0,0,8,9,5,7,9,9,7,5,1,25,11,2,10,9,23152,1
0,0,23,1,20,25,25,10,10,10,8,9,8,9,10,8,9,6,1,25,11,2,10,9,23152,1
0,0,25,4,25,20,25,20,10,0,8,9,4,7,8,9,3,1,1,23,11,2,2,9,43664,0
0,0,23,4,20,25,20,15,10,10,7,8,6.016555982,8,9,8,7,4,1,23,11,2,2,9,43664,1
0,1,24,2,25,35,30,10,0,0,6,5,2,5,5,7,5,4,1,23,11,2,2,9,43664,1
0,1,24,2,25,15,25,25,15,15,8,7,7,7,8,7,9,7,1,23,11,2,2,9,43664,1
0,1,28,2,25,15,25,15,0,20,7,6,7,6,7,8,8,7,1,23,11,2,2,9,43664,1
0,1,26,2,20,35,20,10,10,5,10,9,8,7,10,9,9.5,7,1,23,11,2,2,9,43664,1
0,1,30,2,20,20,25,25,5,5,5,6,6,6,6,6,6,6,1,23,11,2,2,9,43664,1
0,1,22,2,30,15,25,25,5,0,9,8,8,4.563571884,9,7,9,8,1,23,11,2,2,9,43664,1
0,0,25,4,20,20,20,20,5,15,9,8,8,7,7,7,8,6,1,23,11,2,2,9,43664,1
0,1,23,2,25,10,35,15,0,15,7,3,2,3,5,5,6,6,1,23,11,2,2,9,43664,1
0,1,21,2,15,20,15,30,5,15,8,7,6,6,7,7,7,3,1,23,11,2,2,9,43664,1
