,gender,match,samerace,age_o,dec_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,dec
34,0,0,0,24,1,1,9,9,8,3,9,8,8,8,23,2,1,1,1,0
35,0,0,1,25,1,1,6,7,6,2,7,6,8,7,23,2,1,1,1,0
36,0,0,1,30,1,1,6,5,6,2,3,7,6,5,23,2,1,1,1,0
37,0,0,1,27,0,1,7,5,7,2,8,6,6,6,23,2,1,1,1,0
38,0,1,1,28,1,1,8,10,7,2,7,7,9,10,23,2,1,1,1,1
39,0,0,1,24,0,1,7,7,8,2,8,7,8,7,23,2,1,1,1,1
40,0,0,1,27,0,1,6,6,8,2,8,6,7,8,21,2,8,1,7,0
41,0,0,1,22,0,1,7,5,7,2,10,6,6,7,21,2,8,1,7,0
42,0,0,0,22,1,1,10,10,10,4,10,10,10,10,21,2,8,1,7,0
43,0,1,1,23,1,1,7,10,8,2,6,6,10,8,21,2,8,1,7,1
44,0,0,0,24,0,1,5,5,9,3,9,5,9,7,21,2,8,1,7,0
45,0,0,1,25,0,1,6,7,8,2,7,5,7,7,21,2,8,1,7,1
46,0,0,1,30,0,1,3,3,3,2,4,2,5,4,21,2,8,1,7,1
47,0,0,1,27,0,1,6,5,5,2,6,5,5,5,21,2,8,1,7,1
48,0,1,1,28,1,1,7,6,9,2,9,5,9,9,21,2,8,1,7,1
49,0,0,1,24,0,1,4,5,10,2,7,3,10,7,21,2,8,1,7,1
50,0,0,0,27,0,1,7,4,9,2,8,7,8,9,23,4,1,1,4,1
51,0,0,0,22,0,1,7,6,8,2,10,6,7,6,23,4,1,1,4,1
52,0,0,1,22,1,1,10,10,10,4,10,10,10,10,23,4,1,1,4,0
53,0,1,0,23,1,1,7,8,8,2,8,6,9,7,23,4,1,1,4,1
54,0,0,0,24,1,1,9,6,7,3,9,9,9,7,23,4,1,1,4,0
55,0,0,0,25,1,1,6,7,6,2,8,6,8,8,23,4,1,1,4,0
56,0,0,0,30,0,1,3,4,6,2,8,5,5,4,23,4,1,1,4,1
57,0,0,0,27,0,1,7,5,7,2,8,6,8,7,23,4,1,1,4,0
58,0,1,0,28,1,1,6,6,7,2,7,6,6,6,23,4,1,1,4,1
59,0,0,0,24,0,1,6,7,10,2,10,7,10,6,23,4,1,1,4,1
60,0,0,0,27,0,1,7,7,8,2,8,7,7,8,22,4,2,4,7,0
61,0,0,0,22,1,1,8,5,9,2,10,7,6,6,22,4,2,4,7,0
62,0,0,1,22,1,1,10,10,10,4,10,10,10,10,22,4,2,4,7,0
63,0,1,0,23,1,1,8,9,8,2,9,8,9,8,22,4,2,4,7,1
64,0,0,0,24,1,1,8,5,7,3,9,8,9,6,22,4,2,4,7,0
65,0,0,0,25,1,1,7,6,8,2,8,8,6,6,22,4,2,4,7,0
66,0,0,0,30,0,1,5,3,6,2,5,7,4,4,22,4,2,4,7,1
67,0,0,0,27,1,1,7,5,7,2,6,8,7,7,22,4,2,4,7,0
68,0,1,0,28,1,1,9,10,7,2,9,9,9,9,22,4,2,4,7,1
69,0,0,0,24,0,1,7,7,6,2,8,7,8,6,22,4,2,4,7,1
70,0,0,1,27,0,13,7,5,7,2,6,8,6,6,25,2,1,1,6,1
71,0,1,1,22,1,13,9,5,8,2,10,8,6,7,25,2,1,1,6,1
72,0,1,0,22,1,13,10,10,10,4,10,10,10,10,25,2,1,1,6,1
73,0,1,1,23,1,13,8,7,8,2,8,8,8,8,25,2,1,1,6,1
74,0,1,0,24,1,13,9,7,9,3,8,9,,9,25,2,1,1,6,1
75,0,1,1,25,1,13,7,7,7,2,7,8,8,7,25,2,1,1,6,1
76,0,0,1,30,0,13,4,4,4,2,7,6,6,5,25,2,1,1,6,1
77,0,1,1,27,1,13,7,5,8,2,8,9,7,8,25,2,1,1,6,1
78,0,1,1,28,1,13,8,10,7,2,8,8,8,10,25,2,1,1,6,1
79,0,1,1,24,1,13,8,8,10,2,9,8,8,9,25,2,1,1,6,1
80,0,0,0,27,0,13,6,5,8,2,7,6,7,8,26,6,1,1,6,1
81,0,1,0,22,1,13,8,5,8,2,10,8,6,7,26,6,1,1,6,1
82,0,1,0,22,1,13,10,10,10,4,10,10,10,10,26,6,1,1,6,1
83,0,1,0,23,1,13,7,7,8,2,7,7,8,8,26,6,1,1,6,1
84,0,1,0,24,1,13,7,7,9,3,8,7,7,9,26,6,1,1,6,1
85,0,1,0,25,1,13,6,7,6,2,7,6,7,8,26,6,1,1,6,1
86,0,1,0,30,1,13,8,5,6,2,7,8,6,8,26,6,1,1,6,1
87,0,0,0,27,0,13,7,5,7,2,7,7,6,7,26,6,1,1,6,1
88,0,1,0,28,1,13,6,6,6,2,6,6,6,7,26,6,1,1,6,1
89,0,0,0,24,0,13,6,6,6,2,6,5,6,6,26,6,1,1,6,1
90,0,0,1,27,0,13,6,5,8,2,7,7,6,8,26,2,4,4,7,0
91,0,0,1,22,0,13,1,1,1,2,1,1,1,1,26,2,4,4,7,0
92,0,1,0,22,1,13,10,10,10,4,10,10,10,10,26,2,4,4,7,1
93,0,0,1,23,1,13,7,8,8,2,7,7,8,9,26,2,4,4,7,0
94,0,0,0,24,1,13,6,,9,3,9,6,8,7,26,2,4,4,7,0
95,0,0,1,25,0,13,6,7,8,2,7,,7,7,26,2,4,4,7,0
96,0,0,1,30,0,13,3,4,7,2,4,7,4,3,26,2,4,4,7,1
97,0,0,1,27,0,13,7,5,6,2,6,6,6,6,26,2,4,4,7,0
98,0,1,1,28,1,13,7,6,7,2,7,7,6,7,26,2,4,4,7,1
99,0,0,1,24,0,13,7,6,6,2,6,6,6,6,26,2,4,4,7,1
100,1,0,0,21,1,8,7,5,9,4,7,6,6,7,27,2,7,3,7,0
101,1,0,1,24,0,8,6,3,7,2,8,5,6,4,27,2,7,3,7,0
102,1,0,1,25,0,8,8,9,9,2,10,7,8,7,27,2,7,3,7,0
103,1,0,1,23,0,8,6,7,10,2,8,4,8,5,27,2,7,3,7,0
104,1,0,1,21,0,8,7,2,8,2,8,5,2,2,27,2,7,3,7,0
105,1,0,0,23,1,8,6,6,9,4,7,6,7,6,27,2,7,3,7,0
106,1,0,0,22,0,8,7,4,8,4,8,4,7,5,27,2,7,3,7,0
107,1,0,1,25,1,8,4,5,8,2,7,5,7,4,27,2,7,3,7,0
108,1,0,0,26,1,8,5,6,10,6,9,8,7,8,27,2,7,3,7,0
109,1,0,1,26,0,8,6,,10,2,10,6,6,6,27,2,7,3,7,0
110,1,0,0,21,1,1,7,6,8,4,7,7,5,8,22,2,1,1,7,0
111,1,0,1,24,0,1,7,6,5,2,6,8,9,6,22,2,1,1,7,0
112,1,0,1,25,0,1,8,7,7,2,9,9,9,8,22,2,1,1,7,0
113,1,0,1,23,0,1,8,8,7,2,8,8,7,10,22,2,1,1,7,0
114,1,0,1,21,0,1,6,5,6,2,6,8,5,5,22,2,1,1,7,0
115,1,0,0,23,1,1,7,2,9,4,9,6,8,6,22,2,1,1,7,0
116,1,0,0,22,0,1,7,4,6,4,8,6,9,4,22,2,1,1,7,1
117,1,1,1,25,1,1,8,7,7,2,7,8,6,9,22,2,1,1,7,1
118,1,1,0,26,1,1,10,10,10,6,10,10,10,10,22,2,1,1,7,1
119,1,0,1,26,0,1,1,,1,2,1,1,1,1,22,2,1,1,7,0
120,1,1,1,21,1,1,7,7,8,4,9,5,5,8,22,4,3,5,3,1
121,1,0,0,24,0,1,6,4,8,2,9,5,3,6,22,4,3,5,3,1
122,1,0,0,25,0,1,8,7,9,2,9,7,9,7,22,4,3,5,3,1
123,1,0,0,23,0,1,4,7,7,2,8,4,6,8,22,4,3,5,3,1
124,1,0,0,21,0,1,6,5,6,2,8,4,6,8,22,4,3,5,3,1
125,1,0,1,23,0,1,6,2,7,4,9,4,3,4,22,4,3,5,3,1
126,1,0,1,22,0,1,7,8,6,4,8,3,8,7,22,4,3,5,3,1
127,1,1,0,25,1,1,5,7,8,2,8,5,7,6,22,4,3,5,3,1
128,1,1,0,26,1,1,8,6,10,6,10,5,6,6,22,4,3,5,3,1
129,1,1,0,26,1,1,7,,10,2,10,6,6,10,22,4,3,5,3,1
130,1,1,0,21,1,1,7,8,6,4,8,7,6,7,23,2,1,1,8,1
131,1,1,1,24,1,1,7,7,9,2,7,7,5,6,23,2,1,1,8,1
132,1,0,1,25,0,1,8,7,7,2,9,9,9,7,23,2,1,1,8,1
133,1,1,1,23,1,1,8,10,10,2,7,8,7,10,23,2,1,1,8,1
134,1,1,1,21,1,1,8,9,5,2,5,8,7,7,23,2,1,1,8,1
135,1,1,0,23,1,1,9,8,6,4,7,8,2,8,23,2,1,1,8,1
136,1,1,0,22,1,1,8,6,8,4,8,7,7,7,23,2,1,1,8,1
137,1,1,1,25,1,1,5,5,6,2,5,8,6,6,23,2,1,1,8,1
138,1,1,0,26,1,1,7,7,9,6,8,10,7,8,23,2,1,1,8,1
139,1,0,1,26,0,1,10,,10,2,10,10,10,10,23,2,1,1,8,1
140,1,1,0,21,1,1,6,6,6,4,7,5,6,7,24,3,3,1,5,1
141,1,0,0,24,0,1,8,8,8,2,7,6,7,9,24,3,3,1,5,1
142,1,0,0,25,0,1,9,10,10,2,10,9,10,10,24,3,3,1,5,1
143,1,0,0,23,0,1,7,9,9,2,8,6,8,9,24,3,3,1,5,1
144,1,0,0,21,0,1,7,8,7,2,7,6,4,5,24,3,3,1,5,0
145,1,0,0,23,0,1,4,2,4,4,8,5,4,8,24,3,3,1,5,1
146,1,0,0,22,0,1,5,5,7,4,7,4,8,4,24,3,3,1,5,1
147,1,1,0,25,1,1,6,7,8,2,8,6,6,5,24,3,3,1,5,1
148,1,1,0,26,1,1,5,5,10,6,8,5,5,8,24,3,3,1,5,1
149,1,0,0,26,0,1,6,,7,2,7,5,7,7,24,3,3,1,5,1
150,1,0,0,21,0,8,6,4,9,4,7,4,6,4,25,2,9,2,7,1
151,1,0,1,24,0,8,6,2,7,2,8,8,6,3,25,2,9,2,7,1
152,1,0,1,25,0,8,8,9,10,2,10,8,9,7,25,2,9,2,7,1
153,1,0,1,23,0,8,4,2,10,2,8,5,8,4,25,2,9,2,7,1
154,1,0,1,21,1,8,7,8,6,2,7,5,7,5,25,2,9,2,7,0
155,1,0,0,23,0,8,2,1,7,4,6,3,1,1,25,2,9,2,7,1
156,1,0,0,22,0,8,5,4,8,4,7,4,5,4,25,2,9,2,7,1
157,1,1,1,25,1,8,6,7,8,2,8,6,6,5,25,2,9,2,7,1
158,1,1,0,26,1,8,6,5,9,6,9,8,6,7,25,2,9,2,7,1
159,1,0,1,26,0,8,6,,10,2,6,5,6,4,25,2,9,2,7,0
160,1,0,0,21,1,13,6,7,6,4,7,7,6,4,30,2,1,1,4,0
161,1,0,1,24,1,13,8,9,5,2,9,7,7,6,30,2,1,1,4,0
162,1,0,1,25,0,13,8,9,9,2,10,8,7,7,30,2,1,1,4,0
163,1,0,1,23,0,13,5,5,10,2,10,7,10,7,30,2,1,1,4,1
164,1,0,1,21,1,13,6,6,6,2,8,6,5,5,30,2,1,1,4,0
165,1,0,0,23,1,13,8,4,8,4,8,8,3,8,30,2,1,1,4,0
166,1,0,0,22,1,13,8,7,7,4,8,7,7,7,30,2,1,1,4,0
167,1,0,1,25,1,13,6,7,7,2,8,6,7,5,30,2,1,1,4,0
168,1,1,0,26,1,13,7,6,8,6,9,6,6,6,30,2,1,1,4,1
169,1,0,1,26,1,13,7,,10,2,8,5,9,6,30,2,1,1,4,0
170,1,0,0,21,0,8,6,6,9,4,7,4,5,6,27,2,8,8,5,0
171,1,0,1,24,0,8,5,5,8,2,7,5,9,5,27,2,8,8,5,1
172,1,0,1,25,0,8,8,7,9,2,9,7,9,8,27,2,8,8,5,0
173,1,0,1,23,0,8,6,7,9,2,9,5,9,5,27,2,8,8,5,0
174,1,0,1,21,1,8,6,5,5,2,7,5,7,6,27,2,8,8,5,0
175,1,0,0,23,0,8,5,3,8,4,9,4,8,2,27,2,8,8,5,0
176,1,0,0,22,0,8,5,5,7,4,8,5,9,5,27,2,8,8,5,1
177,1,1,1,25,1,8,5,6,6,2,7,5,5,4,27,2,8,8,5,1
178,1,0,0,26,1,8,7,6,7,6,8,6,9,7,27,2,8,8,5,0
179,1,0,1,26,0,8,5,,6,2,6,5,5,4,27,2,8,8,5,0
180,1,1,0,21,1,8,7,8,6,4,8,7,8,9,28,2,1,1,10,1
181,1,1,1,24,1,8,5,5,6,2,8,7,4,9,28,2,1,1,10,1
182,1,0,1,25,0,8,9,9,9,2,9,9,9,9,28,2,1,1,10,1
183,1,1,1,23,1,8,8,8,8,2,10,9,7,10,28,2,1,1,10,1
184,1,1,1,21,1,8,9,9,5,2,7,7,7,8,28,2,1,1,10,1
185,1,1,0,23,1,8,9,9,6,4,8,7,6,8,28,2,1,1,10,1
186,1,1,0,22,1,8,6,6,6,4,8,6,8,8,28,2,1,1,10,1
187,1,1,1,25,1,8,7,9,8,2,5,8,8,9,28,2,1,1,10,1
188,1,1,0,26,1,8,7,5,5,6,5,8,5,6,28,2,1,1,10,1
189,1,1,1,26,1,8,9,9,9,2,9,9,9,9,28,2,1,1,10,1
190,1,0,0,21,1,8,6,8,6,4,6,5,10,8,24,2,1,1,6,0
191,1,0,1,24,1,8,8,8,7,2,8,6,9,7,24,2,1,1,6,0
192,1,0,1,25,0,8,8,7,7,2,9,8,9,7,24,2,1,1,6,0
193,1,0,1,23,1,8,10,8,9,2,10,8,8,10,24,2,1,1,6,0
194,1,0,1,21,1,8,10,5,6,2,7,9,6,9,24,2,1,1,6,0
195,1,0,0,23,1,8,9,7,9,4,9,8,10,9,24,2,1,1,6,0
196,1,0,0,22,1,8,7,6,6,4,7,8,8,7,24,2,1,1,6,0
197,1,1,1,25,1,8,8,8,6,2,8,7,9,7,24,2,1,1,6,1
198,1,0,0,26,1,8,8,8,8,6,7,7,7,8,24,2,1,1,6,0
199,1,0,1,26,1,8,9,8,9,2,8,9,8,10,24,2,1,1,6,0
200,0,0,1,25,0,5,4,7,10,4,10,3,4,6,21,4,8,10,5,0
201,0,0,1,30,0,5,5,,5,4,5,5,5,5,21,4,8,10,5,0
202,0,0,1,23,0,5,6,2,10,4,9,3,9,5,21,4,8,10,5,1
203,0,0,0,24,0,5,5,2,5,2,6,4,6,4,21,4,8,10,5,0
204,0,0,0,24,1,5,8,7,7,2,8,6,7,6,21,4,8,10,5,0
205,0,0,0,28,1,5,7,6,8,2,8,7,9,7,21,4,8,10,5,0
206,0,0,0,26,0,5,8,8,7,2,10,6,9,8,21,4,8,10,5,0
207,0,0,0,30,1,5,5,7,5,2,6,9,5,5,21,4,8,10,5,0
208,0,0,0,22,0,5,4,3,8,2,5,3,8,5,21,4,8,10,5,0
209,0,0,1,25,0,5,6,4,7,4,8,6,6,4,21,4,8,10,5,1
210,0,0,0,27,0,5,7,,8,1,8,5,,,21,4,8,10,5,0
211,0,0,0,23,0,5,5,2,8,2,8,2,2,3,21,4,8,10,5,0
212,0,0,0,21,0,5,6,6,6,2,8,6,7,6,21,4,8,10,5,0
213,0,0,0,28,0,5,7,6,8,2,8,6,7,7,21,4,8,10,5,0
214,0,0,0,28,0,5,5,5,7,2,7,5,7,7,21,4,8,10,5,0
215,0,0,0,23,0,5,6,5,8,1,10,5,9,7,21,4,8,10,5,0
216,0,0,0,25,0,9,3,4,10,4,8,4,6,8,27,1,1,2,4,0
217,0,0,0,30,0,9,5,,5,4,5,5,5,5,27,1,1,2,4,0
218,0,0,0,23,0,9,2,1,6,4,8,3,5,5,27,1,1,2,4,0
219,0,0,0,24,0,9,5,1,5,2,5,4,5,3,27,1,1,2,4,0
220,0,1,0,24,1,9,6,5,7,2,6,6,8,6,27,1,1,2,4,1
221,0,1,0,28,1,9,6,5,7,2,7,7,6,5,27,1,1,2,4,1
222,0,0,0,26,0,9,5,5,8,2,5,5,6,5,27,1,1,2,4,1
223,0,0,0,30,1,9,4,3,5,2,6,,6,5,27,1,1,2,4,0
224,0,0,0,22,0,9,5,3,6,2,6,4,,5,27,1,1,2,4,1
225,0,0,0,25,0,9,7,,8,4,7,7,7,7,27,1,1,2,4,0
226,0,0,1,27,0,9,7,,8,1,7,6,,6,27,1,1,2,4,1
227,0,0,0,23,0,9,2,1,2,2,3,2,2,2,27,1,1,2,4,0
228,0,0,0,21,0,9,4,5,6,2,7,4,5,6,27,1,1,2,4,0
229,0,0,0,28,0,9,7,6,8,2,8,6,8,7,27,1,1,2,4,1
230,0,0,0,28,0,9,6,5,7,2,7,4,6,6,27,1,1,2,4,0
231,0,0,1,23,0,9,7,8,8,1,9,5,10,7,27,1,1,2,4,1
232,0,0,1,25,0,3,1,3,4,4,3,5,4,7,21,4,9,6,5,1
233,0,0,1,30,0,3,5,,8,4,8,8,8,8,21,4,9,6,5,0
234,0,0,1,23,0,3,8,,10,4,9,6,9,8,21,4,9,6,5,1
235,0,1,0,24,1,3,6,2,6,2,5,4,3,4,21,4,9,6,5,1
236,0,1,0,24,1,3,8,8,8,2,8,8,7,10,21,4,9,6,5,1
237,0,1,0,28,1,3,7,6,8,2,7,7,6,6,21,4,9,6,5,1
238,0,0,0,26,0,3,8,9,8,2,9,6,8,8,21,4,9,6,5,1
239,0,0,0,30,1,3,6,4,6,2,6,5,7,4,21,4,9,6,5,0
240,0,0,0,22,0,3,3,3,6,2,6,4,3,4,21,4,9,6,5,0
241,0,0,1,25,0,3,6,3,8,4,8,7,7,6,21,4,9,6,5,1
242,0,0,0,27,0,3,7,,,1,7,5,,6,21,4,9,6,5,1
243,0,0,0,23,0,3,2,1,6,2,4,4,1,1,21,4,9,6,5,0
244,0,0,0,21,0,3,5,5,7,2,6,7,6,6,21,4,9,6,5,0
245,0,0,0,28,1,3,7,6,8,2,8,7,8,7,21,4,9,6,5,0
246,0,0,0,28,1,3,7,7,7,2,7,6,9,7,21,4,9,6,5,0
247,0,0,0,23,0,3,7,7,9,1,10,6,10,8,21,4,9,6,5,0
248,0,0,0,25,0,11,2,5,10,4,9,5,8,9,27,2,2,3,5,0
249,0,0,0,30,0,11,5,,5,4,5,5,5,5,27,2,2,3,5,0
250,0,0,0,23,0,11,3,2,6,4,7,7,8,9,27,2,2,3,5,0
251,0,0,1,24,0,11,5,2,5,2,6,5,7,4,27,2,2,3,5,0
252,0,0,1,24,1,11,8,8,7,2,8,5,8,7,27,2,2,3,5,0
253,0,0,1,28,1,11,5,5,6,2,6,6,5,6,27,2,2,3,5,0
254,0,0,1,26,0,11,8,9,8,2,8,7,7,8,27,2,2,3,5,1
255,0,0,1,30,1,11,6,4,6,2,6,6,6,5,27,2,2,3,5,0
256,0,0,1,22,0,11,5,3,8,2,8,6,,5,27,2,2,3,5,0
257,0,0,0,25,1,11,7,7,7,4,6,7,6,5,27,2,2,3,5,0
258,0,0,0,27,1,11,8.5,,,1,,7,,9,27,2,2,3,5,0
259,0,0,1,23,1,11,6,6,5,2,7,7,6,6,27,2,2,3,5,0
260,0,0,1,21,0,11,4,2,7,2,9,7,6,5,27,2,2,3,5,0
261,0,0,1,28,0,11,7,7,8,2,8,8,7,8,27,2,2,3,5,1
262,0,0,1,28,1,11,7,8,7,2,8,8,7,7,27,2,2,3,5,0
263,0,0,0,23,1,11,8,6,9,1,9,8,8,8,27,2,2,3,5,0
264,0,0,0,25,0,11,3,4,10,4,9,8,8,9,25,2,10,2,5,0
265,0,0,0,30,1,11,5,,5,4,5,5,5,5,25,2,10,2,5,0
266,0,0,0,23,1,11,8,,9,4,7,8,5,7,25,2,10,2,5,0
267,0,0,1,24,1,11,6,1,5,2,6,8,5,6,25,2,10,2,5,0
268,0,0,1,24,1,11,7,4,6,2,6,7,5,7,25,2,10,2,5,0
269,0,0,1,28,1,11,7,6,6,2,6,7,6,7,25,2,10,2,5,0
270,0,0,1,26,1,11,9.5,8,8,2,7,10,7,8,25,2,10,2,5,0
271,0,0,1,30,1,11,6,2,7,2,5,6,5,5,25,2,10,2,5,0
272,0,0,1,22,1,11,8,5,8,2,7,9,,8,25,2,10,2,5,0
273,0,0,0,25,1,11,8,5,8,4,7,9,6,8,25,2,10,2,5,0
274,0,0,0,27,1,11,8,,,1,,7,,,25,2,10,2,5,0
275,0,0,1,23,0,11,3,2,4,2,7,6,2,6,25,2,10,2,5,0
276,0,0,1,21,1,11,7,6,7,2,7,8,6,7,25,2,10,2,5,0
277,0,0,1,28,1,11,8,7,8,2,8,9,8,8,25,2,10,2,5,0
278,0,0,1,28,1,11,7,5,9,2,9,8,7,9,25,2,10,2,5,0
279,0,0,0,23,1,11,9,8,9,1,8,8,9,10,25,2,10,2,5,0
280,0,0,0,25,0,11,3,4,9,4,9,8,7,8,23,2,2,4,7,0
281,0,0,0,30,1,11,5,,5,4,5,5,5,5,23,2,2,4,7,0
282,0,0,0,23,1,11,7,,8,4,8,7,8,9,23,2,2,4,7,0
283,0,0,1,24,1,11,5,2,5,2,7,6,5,5,23,2,2,4,7,0
284,0,0,1,24,1,11,9,7,7,2,7,8,7,8,23,2,2,4,7,0
285,0,0,1,28,1,11,8,7,6,2,8,7,6,7,23,2,2,4,7,0
286,0,0,1,26,1,11,9.5,8,9,2,9,10,7,10,23,2,2,4,7,0
287,0,0,1,30,1,11,6,6,6,2,6,5,6,6,23,2,2,4,7,0
288,0,0,1,22,1,11,9,8,8,2,7,9,,9,23,2,2,4,7,0
289,0,0,0,25,1,11,8,8,8,4,7,9,7,7,23,2,2,4,7,0
290,0,0,0,27,1,11,8,,,1,,8,,,23,2,2,4,7,0
291,0,0,1,23,1,11,6,2,3,2,5,7,3,5,23,2,2,4,7,0
292,0,0,1,21,1,11,7,6,7,2,7,8,6,7,23,2,2,4,7,0
293,0,0,1,28,1,11,8,8,9,2,9,9,8,9,23,2,2,4,7,0
294,0,0,1,28,1,11,7,6,8,2,7,8,7,8,23,2,2,4,7,0
295,0,0,0,23,1,11,9,8,9,1,8,8,9,9,23,2,2,4,7,0
296,0,0,0,25,0,3,5,5,8,4,6,9,7,8,22,3,1,5,5,0
297,0,0,0,30,1,3,8,,8,4,8,8,8,8,22,3,1,5,5,0
298,0,0,0,23,1,3,9,,9,4,8,8,8,9,22,3,1,5,5,0
299,0,0,0,24,1,3,6,5,6,2,5,7,3,7,22,3,1,5,5,0
300,0,0,0,24,1,3,7,5,7,2,7,9,6,7,22,3,1,5,5,0
301,0,0,0,28,1,3,8,7,8,2,7,8,6,8,22,3,1,5,5,0
302,0,1,0,26,1,3,9.5,9,8,2,8,9,7,8,22,3,1,5,5,1
303,0,0,0,30,1,3,7,5,5,2,6,7,4,6,22,3,1,5,5,0
304,0,0,0,22,1,3,7,7,8,2,5,8,,6,22,3,1,5,5,0
305,0,0,0,25,1,3,7,0,8,4,7,8,7,7,22,3,1,5,5,0
306,0,1,0,27,1,3,8,6,,1,,8,,7,22,3,1,5,5,1
307,0,0,0,23,1,3,6,3,4,2,4,8,5,7,22,3,1,5,5,0
308,0,0,0,21,1,3,7,7,7,2,7,8,6,6,22,3,1,5,5,0
309,0,0,0,28,1,3,8,7,8,2,8,8,8,8,22,3,1,5,5,0
310,0,0,0,28,1,3,8,7,9,2,8,9,8,9,22,3,1,5,5,0
311,0,0,0,23,1,3,10,8,8,1,9,9,9,10,22,3,1,5,5,0
312,0,0,0,25,0,11,1,3,6,4,3,5,3,4,22,2,4,5,7,0
313,0,0,0,30,0,11,8,,8,4,8,8,8,8,22,2,4,5,7,0
314,0,0,0,23,0,11,4,,8,4,7,3,8,5,22,2,4,5,7,0
315,0,0,1,24,0,11,5,5,4,2,5,4,6,4,22,2,4,5,7,0
316,0,1,1,24,1,11,7,5,6,2,7,7,7,6,22,2,4,5,7,1
317,0,1,1,28,1,11,7,6,8,2,6,8,6,7,22,2,4,5,7,1
318,0,0,1,26,0,11,7,7,7,2,6,6,7,8,22,2,4,5,7,1
319,0,0,1,30,0,11,6,2,6,2,5,5,7,6,22,2,4,5,7,0
320,0,0,1,22,0,11,5,3,8,2,9,6,9,5,22,2,4,5,7,1
321,0,0,0,25,1,11,7,5,8,4,8,7,6,7,22,2,4,5,7,0
322,0,0,0,27,0,11,7,,,1,,6,,,22,2,4,5,7,1
323,0,0,1,23,0,11,6,3,8,2,5,5,3,3,22,2,4,5,7,1
324,0,0,1,21,0,11,5,5,7,2,6,5,5,7,22,2,4,5,7,1
325,0,0,1,28,0,11,7,6,8,2,8,6,7,7,22,2,4,5,7,1
326,0,0,1,28,0,11,6,5,8,2,7,5,7,7,22,2,4,5,7,0
327,0,0,0,23,0,11,7,6,8,1,8,6,9,8,22,2,4,5,7,1
328,0,0,0,25,0,1,2,4,6,4,8,6,8,7,23,2,2,4,3,0
329,0,0,0,30,0,1,7,,10,4,10,10,10,10,23,2,2,4,3,0
