,Unnamed: 0,gender,match,samerace,age_o,field_cd,like_o,shar_o,sinc_o,race_o,intel_o,attr_o,amb_o,fun_o,age,race,imprace,imprelig,exphappy,career_c,dec_o
111,211,0,0,0,23,5,5.0,2.0,8.0,2,8.0,2.0,2.0,3.0,21,4,8,10,5,10.0,0
112,212,0,0,0,21,5,6.0,6.0,6.0,2,8.0,6.0,7.0,6.0,21,4,8,10,5,10.0,0
113,213,0,0,0,28,5,7.0,6.0,8.0,2,8.0,6.0,7.0,7.0,21,4,8,10,5,10.0,0
114,214,0,0,0,28,5,5.0,5.0,7.0,2,7.0,5.0,7.0,7.0,21,4,8,10,5,10.0,0
115,215,0,0,0,23,5,6.0,5.0,8.0,1,10.0,5.0,9.0,7.0,21,4,8,10,5,10.0,0
116,216,0,0,0,25,9,3.0,4.0,10.0,4,8.0,4.0,6.0,8.0,27,1,1,2,4,5.0,0
118,218,0,0,0,23,9,2.0,1.0,6.0,4,8.0,3.0,5.0,5.0,27,1,1,2,4,5.0,0
119,219,0,0,0,24,9,5.0,1.0,5.0,2,5.0,4.0,5.0,3.0,27,1,1,2,4,5.0,0
120,220,0,1,0,24,9,6.0,5.0,7.0,2,6.0,6.0,8.0,6.0,27,1,1,2,4,5.0,1
121,221,0,1,0,28,9,6.0,5.0,7.0,2,7.0,7.0,6.0,5.0,27,1,1,2,4,5.0,1
122,222,0,0,0,26,9,5.0,5.0,8.0,2,5.0,5.0,6.0,5.0,27,1,1,2,4,5.0,0
127,227,0,0,0,23,9,2.0,1.0,2.0,2,3.0,2.0,2.0,2.0,27,1,1,2,4,5.0,0
128,228,0,0,0,21,9,4.0,5.0,6.0,2,7.0,4.0,5.0,6.0,27,1,1,2,4,5.0,0
129,229,0,0,0,28,9,7.0,6.0,8.0,2,8.0,6.0,8.0,7.0,27,1,1,2,4,5.0,0
130,230,0,0,0,28,9,6.0,5.0,7.0,2,7.0,4.0,6.0,6.0,27,1,1,2,4,5.0,0
131,231,0,0,1,23,9,7.0,8.0,8.0,1,9.0,5.0,10.0,7.0,27,1,1,2,4,5.0,0
132,232,0,0,1,25,3,1.0,3.0,4.0,4,3.0,5.0,4.0,7.0,21,4,9,6,5,3.0,0
135,235,0,1,0,24,3,6.0,2.0,6.0,2,5.0,4.0,3.0,4.0,21,4,9,6,5,3.0,1
136,236,0,1,0,24,3,8.0,8.0,8.0,2,8.0,8.0,7.0,10.0,21,4,9,6,5,3.0,1
137,237,0,1,0,28,3,7.0,6.0,8.0,2,7.0,7.0,6.0,6.0,21,4,9,6,5,3.0,1
138,238,0,0,0,26,3,8.0,9.0,8.0,2,9.0,6.0,8.0,8.0,21,4,9,6,5,3.0,0
139,239,0,0,0,30,3,6.0,4.0,6.0,2,6.0,5.0,7.0,4.0,21,4,9,6,5,3.0,1
140,240,0,0,0,22,3,3.0,3.0,6.0,2,6.0,4.0,3.0,4.0,21,4,9,6,5,3.0,0
141,241,0,0,1,25,3,6.0,3.0,8.0,4,8.0,7.0,7.0,6.0,21,4,9,6,5,3.0,0
143,243,0,0,0,23,3,2.0,1.0,6.0,2,4.0,4.0,1.0,1.0,21,4,9,6,5,3.0,0
144,244,0,0,0,21,3,5.0,5.0,7.0,2,6.0,7.0,6.0,6.0,21,4,9,6,5,3.0,0
145,245,0,0,0,28,3,7.0,6.0,8.0,2,8.0,7.0,8.0,7.0,21,4,9,6,5,3.0,1
146,246,0,0,0,28,3,7.0,7.0,7.0,2,7.0,6.0,9.0,7.0,21,4,9,6,5,3.0,1
147,247,0,0,0,23,3,7.0,7.0,9.0,1,10.0,6.0,10.0,8.0,21,4,9,6,5,3.0,0
148,248,0,0,0,25,11,2.0,5.0,10.0,4,9.0,5.0,8.0,9.0,27,2,2,3,5,9.0,0
150,250,0,0,0,23,11,3.0,2.0,6.0,4,7.0,7.0,8.0,9.0,27,2,2,3,5,9.0,0
151,251,0,0,1,24,11,5.0,2.0,5.0,2,6.0,5.0,7.0,4.0,27,2,2,3,5,9.0,0
152,252,0,0,1,24,11,8.0,8.0,7.0,2,8.0,5.0,8.0,7.0,27,2,2,3,5,9.0,1
153,253,0,0,1,28,11,5.0,5.0,6.0,2,6.0,6.0,5.0,6.0,27,2,2,3,5,9.0,1
154,254,0,0,1,26,11,8.0,9.0,8.0,2,8.0,7.0,7.0,8.0,27,2,2,3,5,9.0,0
155,255,0,0,1,30,11,6.0,4.0,6.0,2,6.0,6.0,6.0,5.0,27,2,2,3,5,9.0,1
157,257,0,0,0,25,11,7.0,7.0,7.0,4,6.0,7.0,6.0,5.0,27,2,2,3,5,9.0,1
159,259,0,0,1,23,11,6.0,6.0,5.0,2,7.0,7.0,6.0,6.0,27,2,2,3,5,9.0,1
160,260,0,0,1,21,11,4.0,2.0,7.0,2,9.0,7.0,6.0,5.0,27,2,2,3,5,9.0,0
161,261,0,0,1,28,11,7.0,7.0,8.0,2,8.0,8.0,7.0,8.0,27,2,2,3,5,9.0,0
162,262,0,0,1,28,11,7.0,8.0,7.0,2,8.0,8.0,7.0,7.0,27,2,2,3,5,9.0,1
163,263,0,0,0,23,11,8.0,6.0,9.0,1,9.0,8.0,8.0,8.0,27,2,2,3,5,9.0,1
164,264,0,0,0,25,11,3.0,4.0,10.0,4,9.0,8.0,8.0,9.0,25,2,10,2,5,9.0,0
167,267,0,0,1,24,11,6.0,1.0,5.0,2,6.0,8.0,5.0,6.0,25,2,10,2,5,9.0,1
168,268,0,0,1,24,11,7.0,4.0,6.0,2,6.0,7.0,5.0,7.0,25,2,10,2,5,9.0,1
169,269,0,0,1,28,11,7.0,6.0,6.0,2,6.0,7.0,6.0,7.0,25,2,10,2,5,9.0,1
170,270,0,0,1,26,11,9.5,8.0,8.0,2,7.0,10.0,7.0,8.0,25,2,10,2,5,9.0,1
171,271,0,0,1,30,11,6.0,2.0,7.0,2,5.0,6.0,5.0,5.0,25,2,10,2,5,9.0,1
173,273,0,0,0,25,11,8.0,5.0,8.0,4,7.0,9.0,6.0,8.0,25,2,10,2,5,9.0,1
175,275,0,0,1,23,11,3.0,2.0,4.0,2,7.0,6.0,2.0,6.0,25,2,10,2,5,9.0,0
176,276,0,0,1,21,11,7.0,6.0,7.0,2,7.0,8.0,6.0,7.0,25,2,10,2,5,9.0,1
177,277,0,0,1,28,11,8.0,7.0,8.0,2,8.0,9.0,8.0,8.0,25,2,10,2,5,9.0,1
178,278,0,0,1,28,11,7.0,5.0,9.0,2,9.0,8.0,7.0,9.0,25,2,10,2,5,9.0,1
179,279,0,0,0,23,11,9.0,8.0,9.0,1,8.0,8.0,9.0,10.0,25,2,10,2,5,9.0,1
180,280,0,0,0,25,11,3.0,4.0,9.0,4,9.0,8.0,7.0,8.0,23,2,2,4,7,9.0,0
183,283,0,0,1,24,11,5.0,2.0,5.0,2,7.0,6.0,5.0,5.0,23,2,2,4,7,9.0,1
184,284,0,0,1,24,11,9.0,7.0,7.0,2,7.0,8.0,7.0,8.0,23,2,2,4,7,9.0,1
185,285,0,0,1,28,11,8.0,7.0,6.0,2,8.0,7.0,6.0,7.0,23,2,2,4,7,9.0,1
186,286,0,0,1,26,11,9.5,8.0,9.0,2,9.0,10.0,7.0,10.0,23,2,2,4,7,9.0,1
187,287,0,0,1,30,11,6.0,6.0,6.0,2,6.0,5.0,6.0,6.0,23,2,2,4,7,9.0,1
189,289,0,0,0,25,11,8.0,8.0,8.0,4,7.0,9.0,7.0,7.0,23,2,2,4,7,9.0,1
191,291,0,0,1,23,11,6.0,2.0,3.0,2,5.0,7.0,3.0,5.0,23,2,2,4,7,9.0,1
192,292,0,0,1,21,11,7.0,6.0,7.0,2,7.0,8.0,6.0,7.0,23,2,2,4,7,9.0,1
193,293,0,0,1,28,11,8.0,8.0,9.0,2,9.0,9.0,8.0,9.0,23,2,2,4,7,9.0,1
194,294,0,0,1,28,11,7.0,6.0,8.0,2,7.0,8.0,7.0,8.0,23,2,2,4,7,9.0,1
195,295,0,0,0,23,11,9.0,8.0,9.0,1,8.0,8.0,9.0,9.0,23,2,2,4,7,9.0,1
196,296,0,0,0,25,3,5.0,5.0,8.0,4,6.0,9.0,7.0,8.0,22,3,1,5,5,9.0,0
199,299,0,0,0,24,3,6.0,5.0,6.0,2,5.0,7.0,3.0,7.0,22,3,1,5,5,9.0,1
200,300,0,0,0,24,3,7.0,5.0,7.0,2,7.0,9.0,6.0,7.0,22,3,1,5,5,9.0,1
201,301,0,0,0,28,3,8.0,7.0,8.0,2,7.0,8.0,6.0,8.0,22,3,1,5,5,9.0,1
202,302,0,1,0,26,3,9.5,9.0,8.0,2,8.0,9.0,7.0,8.0,22,3,1,5,5,9.0,1
203,303,0,0,0,30,3,7.0,5.0,5.0,2,6.0,7.0,4.0,6.0,22,3,1,5,5,9.0,1
205,305,0,0,0,25,3,7.0,0.0,8.0,4,7.0,8.0,7.0,7.0,22,3,1,5,5,9.0,1
207,307,0,0,0,23,3,6.0,3.0,4.0,2,4.0,8.0,5.0,7.0,22,3,1,5,5,9.0,1
208,308,0,0,0,21,3,7.0,7.0,7.0,2,7.0,8.0,6.0,6.0,22,3,1,5,5,9.0,1
209,309,0,0,0,28,3,8.0,7.0,8.0,2,8.0,8.0,8.0,8.0,22,3,1,5,5,9.0,1
210,310,0,0,0,28,3,8.0,7.0,9.0,2,8.0,9.0,8.0,9.0,22,3,1,5,5,9.0,1
211,311,0,0,0,23,3,10.0,8.0,8.0,1,9.0,9.0,9.0,10.0,22,3,1,5,5,9.0,1
228,328,0,0,0,25,1,2.0,4.0,6.0,4,8.0,6.0,8.0,7.0,23,2,2,4,3,9.0,0
231,331,0,0,1,24,1,3.0,1.0,4.0,2,7.0,3.0,7.0,3.0,23,2,2,4,3,9.0,0
232,332,0,0,1,24,1,8.0,7.0,7.0,2,7.0,7.0,6.0,7.0,23,2,2,4,3,9.0,1
233,333,0,0,1,28,1,6.0,5.0,6.0,2,6.0,6.0,6.0,6.0,23,2,2,4,3,9.0,1
234,334,0,0,1,26,1,7.0,6.0,8.0,2,8.0,6.0,8.0,9.0,23,2,2,4,3,9.0,0
235,335,0,0,1,30,1,6.0,3.0,5.0,2,6.0,9.0,6.0,3.0,23,2,2,4,3,9.0,0
239,339,0,0,1,23,1,4.0,4.0,5.0,2,6.0,3.0,6.0,2.0,23,2,2,4,3,9.0,0
240,340,0,0,1,21,1,5.0,4.0,7.0,2,7.0,6.0,6.0,6.0,23,2,2,4,3,9.0,0
241,341,0,0,1,28,1,7.0,6.0,8.0,2,8.0,6.0,8.0,7.0,23,2,2,4,3,9.0,0
242,342,0,0,1,28,1,6.0,6.0,8.0,2,8.0,6.0,8.0,7.0,23,2,2,4,3,9.0,0
243,343,0,1,0,23,1,8.0,10.0,9.0,1,10.0,7.0,10.0,10.0,23,2,2,4,3,9.0,1
244,344,0,0,0,25,1,2.0,3.0,5.0,4,4.0,7.0,8.0,4.0,24,2,4,8,5,1.0,0
247,347,0,0,1,24,1,6.0,3.0,6.0,2,6.0,6.0,5.0,6.0,24,2,4,8,5,1.0,1
248,348,0,0,1,24,1,9.0,7.0,7.0,2,7.0,9.0,7.0,6.0,24,2,4,8,5,1.0,1
249,349,0,0,1,28,1,8.0,6.0,8.0,2,8.0,9.0,8.0,7.0,24,2,4,8,5,1.0,1
250,350,0,0,1,26,1,8.0,8.0,6.0,2,7.0,9.0,7.0,6.0,24,2,4,8,5,1.0,1
251,351,0,0,1,30,1,6.0,5.0,6.0,2,6.0,7.0,7.0,5.0,24,2,4,8,5,1.0,1
255,355,0,0,1,23,1,6.0,5.0,7.0,2,7.0,7.0,5.0,4.0,24,2,4,8,5,1.0,1
256,356,0,0,1,21,1,7.0,5.0,8.0,2,8.0,8.0,7.0,6.0,24,2,4,8,5,1.0,1
257,357,0,0,1,28,1,8.0,7.0,8.0,2,9.0,8.0,9.0,8.0,24,2,4,8,5,1.0,1
258,358,0,0,1,28,1,7.0,7.0,8.0,2,8.0,8.0,7.0,8.0,24,2,4,8,5,1.0,1
259,359,0,1,0,23,1,10.0,8.0,10.0,1,10.0,8.0,10.0,10.0,24,2,4,8,5,1.0,1
260,360,0,0,1,25,3,5.0,4.0,10.0,4,10.0,8.0,8.0,7.0,27,4,1,1,3,1.0,0
262,362,0,0,1,23,3,5.0,4.0,9.0,4,10.0,5.0,10.0,8.0,27,4,1,1,3,1.0,0
263,363,0,0,0,24,3,6.0,3.0,6.0,2,7.0,5.0,4.0,4.0,27,4,1,1,3,1.0,0
264,364,0,0,0,24,3,9.0,8.0,6.0,2,6.0,7.0,7.0,7.0,27,4,1,1,3,1.0,1
265,365,0,0,0,28,3,7.0,7.0,8.0,2,8.0,9.0,8.0,8.0,27,4,1,1,3,1.0,1
266,366,0,0,0,26,3,8.0,7.0,9.0,2,8.0,8.0,10.0,7.0,27,4,1,1,3,1.0,1
267,367,0,0,0,30,3,6.0,5.0,7.0,2,7.0,5.0,5.0,6.0,27,4,1,1,3,1.0,1
268,368,0,0,0,22,3,4.0,3.0,6.0,2,8.0,5.0,8.0,5.0,27,4,1,1,3,1.0,0
269,369,0,0,1,25,3,6.0,6.0,7.0,4,8.0,7.0,7.0,7.0,27,4,1,1,3,1.0,1
271,371,0,0,0,23,3,8.0,4.0,7.0,2,7.0,8.0,5.0,9.0,27,4,1,1,3,1.0,0
272,372,0,0,0,21,3,7.0,5.0,7.0,2,7.0,6.0,6.0,7.0,27,4,1,1,3,1.0,1
273,373,0,0,0,28,3,7.0,7.0,9.0,2,9.0,8.0,9.0,8.0,27,4,1,1,3,1.0,1
274,374,0,0,0,28,3,7.0,6.0,8.0,2,8.0,7.0,8.0,7.0,27,4,1,1,3,1.0,1
275,375,0,0,0,23,3,8.0,7.0,8.0,1,10.0,6.0,7.0,8.0,27,4,1,1,3,1.0,0
276,376,0,0,0,25,3,6.0,3.0,10.0,4,10.0,6.0,5.0,8.0,30,2,4,8,4,2.0,0
278,378,0,0,0,23,3,6.0,6.0,10.0,4,10.0,6.0,10.0,8.0,30,2,4,8,4,2.0,0
279,379,0,0,1,24,3,4.0,4.0,4.0,2,7.0,4.0,6.0,3.0,30,2,4,8,4,2.0,0
280,380,0,0,1,24,3,6.0,8.0,7.0,2,7.0,6.0,6.0,6.0,30,2,4,8,4,2.0,1
281,381,0,0,1,28,3,6.0,5.0,5.0,2,7.0,6.0,7.0,5.0,30,2,4,8,4,2.0,0
282,382,0,0,1,26,3,7.0,8.0,8.0,2,7.0,6.0,8.0,8.0,30,2,4,8,4,2.0,0
283,383,0,0,1,30,3,6.0,3.0,6.0,2,7.0,5.0,6.0,6.0,30,2,4,8,4,2.0,1
285,385,0,0,0,25,3,8.0,7.0,7.0,4,8.0,7.0,8.0,8.0,30,2,4,8,4,2.0,1
286,386,0,0,0,27,3,7.0,5.0,8.0,1,8.0,6.0,8.0,8.0,30,2,4,8,4,2.0,0
287,387,0,0,1,23,3,6.0,4.0,9.0,2,8.0,6.0,5.0,6.0,30,2,4,8,4,2.0,0
288,388,0,0,1,21,3,5.0,6.0,7.0,2,6.0,5.0,6.0,6.0,30,2,4,8,4,2.0,0
289,389,0,0,1,28,3,7.0,7.0,9.0,2,9.0,7.0,9.0,7.0,30,2,4,8,4,2.0,0
290,390,0,0,1,28,3,6.0,7.0,8.0,2,8.0,5.0,7.0,7.0,30,2,4,8,4,2.0,0
291,391,0,0,0,23,3,8.0,7.0,9.0,1,9.0,6.0,8.0,8.0,30,2,4,8,4,2.0,0
292,392,0,0,1,25,8,5.0,4.0,7.0,4,6.0,8.0,6.0,8.0,21,4,2,2,6,6.0,0
294,394,0,0,1,23,8,5.0,3.0,9.0,4,7.0,6.0,6.0,6.0,21,4,2,2,6,6.0,0
295,395,0,0,0,24,8,6.0,2.0,5.0,2,5.0,6.0,7.0,6.0,21,4,2,2,6,6.0,0
296,396,0,0,0,24,8,8.0,6.0,7.0,2,8.0,8.0,6.0,7.0,21,4,2,2,6,6.0,1
297,397,0,0,0,28,8,7.0,7.0,7.0,2,7.0,7.0,7.0,7.0,21,4,2,2,6,6.0,1
298,398,0,1,0,26,8,8.0,7.0,7.0,2,7.0,7.0,8.0,9.0,21,4,2,2,6,6.0,1
299,399,0,0,0,30,8,6.0,6.0,6.0,2,7.0,5.0,7.0,7.0,21,4,2,2,6,6.0,1
300,400,0,0,0,22,8,7.0,3.0,7.0,2,7.0,7.0,5.0,5.0,21,4,2,2,6,6.0,1
301,401,0,1,1,25,8,6.0,6.0,8.0,4,7.0,8.0,7.0,6.0,21,4,2,2,6,6.0,1
303,403,0,0,0,23,8,6.0,1.0,6.0,2,8.0,6.0,8.0,2.0,21,4,2,2,6,6.0,0
304,404,0,0,0,21,8,5.0,5.0,6.0,2,6.0,6.0,5.0,5.0,21,4,2,2,6,6.0,0
305,405,0,0,0,28,8,8.0,7.0,8.0,2,8.0,8.0,8.0,8.0,21,4,2,2,6,6.0,1
306,406,0,0,0,28,8,7.0,7.0,8.0,2,7.0,8.0,7.0,8.0,21,4,2,2,6,6.0,1
307,407,0,0,0,23,8,10.0,9.0,9.0,1,10.0,8.0,10.0,9.0,21,4,2,2,6,6.0,1
308,408,0,0,0,25,2,3.0,3.0,6.0,4,6.0,5.0,7.0,5.0,25,2,9,7,7,7.0,0
310,410,0,0,0,23,2,4.0,4.0,8.0,4,7.0,3.0,10.0,7.0,25,2,9,7,7,7.0,0
311,411,0,0,1,24,2,5.0,5.0,4.0,2,7.0,7.0,7.0,3.0,25,2,9,7,7,7.0,1
313,413,0,1,1,28,2,7.0,7.0,6.0,2,7.0,8.0,7.0,6.0,25,2,9,7,7,7.0,1
314,414,0,1,1,26,2,8.0,8.0,8.0,2,8.0,8.0,9.0,6.0,25,2,9,7,7,7.0,1
315,415,0,0,1,30,2,6.0,4.0,5.0,2,6.0,7.0,6.0,5.0,25,2,9,7,7,7.0,1
316,416,0,0,1,22,2,6.0,4.0,7.0,2,8.0,7.0,5.0,5.0,25,2,9,7,7,7.0,0
317,417,0,1,0,25,2,7.0,5.0,8.0,4,10.0,8.0,6.0,5.0,25,2,9,7,7,7.0,1
319,419,0,0,1,23,2,3.0,1.0,4.0,2,8.0,8.0,7.0,1.0,25,2,9,7,7,7.0,0
320,420,0,0,1,21,2,6.0,5.0,7.0,2,8.0,7.0,6.0,6.0,25,2,9,7,7,7.0,1
321,421,0,1,1,28,2,8.0,6.0,7.0,2,8.0,8.0,8.0,8.0,25,2,9,7,7,7.0,1
322,422,0,0,1,28,2,7.0,7.0,8.0,2,9.0,8.0,8.0,7.0,25,2,9,7,7,7.0,1
